Khamrah,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html,women and men,sweet (100%); warm spicy (81.3078%); vanilla (79.9983%); amber (76.787%); cinnamon (67.262%); woody (48.7171%); fresh spicy (48.4276%); fruity (44.3353%),"Khamrah by Lattafa Perfumes is a Oriental Spicy fragrance for women and men. This is a new fragrance. Khamrah was launched in 2022. Top notes are Cinnamon, Nutmeg and Bergamot; middle notes are Dates, Praline, Tuberose and Mahonial; base notes are Vanilla, Tonka Bean, Amberwood, Myrrh, Benzoin and Akigalawood.Lattafa Khamrah is a luxurious oriental-spicy unisex perfume that combines precious spices, the warmth of woody notes and the softness of vanilla. The fragrance is released by the Arab luxury perfume brand Lattafa Perfumes and comes in a luxurious crystal bottle. The top accord of Khamrah is the citrusy freshness of bergamot framed by the warm, velvety spice of cinnamon and refined clary sage. The heart of the perfume resonates with the delightful creamy smell of praline, melting in a fragrant haze of sweet fruity notes and tuberose floral nuances. Whereas the base of Lattafa Khamrah delivers a sumptuous aromatic trail that blends the sensual sweetness of vanilla with spicy precious woods, sweet smoky oud, smoky aromatic myrrh, spicy tonka bean and vanilla resinous benzoin, shimmering softly in the beams. refined amber.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Affordable alternative to expensive niche fragrances', 'Long-lasting and strong projection', 'Unisex fragrance that can be worn by anyone', 'Great for winter and fall seasons', 'Sweet and spicy notes that are perfect for gourmand lovers', 'Bottle design is unique and eye-catching', 'Shows that fragrance experiences can be democratic and accessible to everyone', 'Positive reactions and compliments from others', 'Not a good option for those who prefer subtle or understated fragrances', 'Some may find the fragrance too sweet or cloying', 'May not be suitable for those who dislike boozy or balsamic scents', 'Not suitable for summer or spring seasons', 'Some may find the fragrance too feminine or masculine for their liking', 'May not be suitable for those who do not like strong myrrh or incense scents', 'Not suitable for those who dislike synthetic wood scents', 'Some may find the fragrance too similar to other Lattafa fragrances']","['Cinnamon', 'Nutmeg', 'Bergamot']","['Dates', 'Praline', 'Tuberose', 'Mahonial']","['Vanilla', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']",very weak: 126; weak: 288; moderate: 3130; long lasting: 7695; eternal: 2408,intimate: 403; moderate: 4483; strong: 6982; enormous: 1371,
Le Male Elixir,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,men,vanilla (100%); sweet (80.6034%); honey (69.6402%); amber (59.7089%); aromatic (59.5551%); lavender (53.4769%); tobacco (50.0865%);  (47.6986%);  (45.8922%);  (45.7805%),,,"['Lavender', 'Mint']","['Vanilla', 'Benzoin']","['Honey', 'Tonka Bean', 'Tobacco']",,,
Angels' Share,By Kilian,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html,women and men,woody (100%); warm spicy (99.2305%); sweet (90.6063%); vanilla (81.8975%); cinnamon (77.7962%); amber (51.1915%); powdery (48.2057%),"Angels' Share by By Kilian is a Oriental Vanilla fragrance for women and men. Angels' Share was launched in 2020. The nose behind this fragrance is Benoist Lapouza. Top note is Cognac; middle notes are Cinnamon, Tonka Bean, Oak and Hedione; base notes are Vanilla, Praline, Sandalwood and Candied Almond.""Introducing a new olfactive family, Kilian Hennessy pays tribute to his heritage, as heir to the renowned French cognac-making family, and to his choice olfactory intoxicants for driving the night towards dawn.A first-time collaboration with French perfumer Benoit Lapouza, the perfume Angel's Share is Kilian Hennessy's most personal fragrance creation yet, inspired by his eighth-generation inheritance of Hennessy savoir-faire in cognac making. The perfume goes deep into the cellars of founder's mind and memory, and into its most mysterious dimension: ""la part des anges"" or ""angels' share""— an evaporation of liquor in oak barrels that lifts, while aging, like a silent offering to the gods.Much like a Master Perfumer who crafts accords and essences in a perfume, a Master Blender combines the eaux-de-vie in perfect proportions for an exceptional cognac. Angels' Share contains the essence of Cognac derived from the liquor to lend it a natural caramel color. Opening with cognac oil, upon a blend of oak absolute, cinnamon essence and Tonka bean absolute, the scent's long-lasting notes of sandalwood, praline and vanilla make for a delicious finish, a rare concoction only angels should experience.""Notes: Cognac, Tonka Bean and Oak wood. Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","[""This fragrance has a warm and cozy scent that's perfect for the holiday season."", ""Angels Share's boozy cognac and vanilla notes create a unique and luxurious scent."", 'Angels Share is a great choice for nighttime wear or special occasions.', 'Angels Share has a gourmand scent that smells like warm apple pie straight from the oven.', 'The fragrance has a long-lasting scent, so it can be worn for hours without needing to reapply.', 'This fragrance works well for both masculine and feminine gender stereotypes.', ""The fragrance has a spicy, nutty aroma that's both alluring and addictive."", 'Angels Share has received many compliments from both strangers and acquaintances.', 'Angels Share may not be suitable for those who prefer lighter or more subtle scents.', 'Some reviewers find the fragrance to be overpriced compared to other fragrances on the market.', 'The plastic cap on the bottle has been criticized by some reviewers.', 'The fruity notes in Angels Share may not be as prominent as some reviewers had hoped.', 'The fragrance may not live up to the hype surrounding it, according to some reviewers.', 'Some reviewers have reported detecting a musty or stale smell in the fragrance.', 'Some reviewers have found that the fragrance smells too generic and lacks uniqueness.', 'Some reviewers have reported experiencing a toothpaste-like scent in the dry down of the fragrance.']",['Cognac'],"['Cinnamon', 'Tonka Bean', 'Oak', 'Hedione']","['Vanilla', 'Praline', 'Sandalwood', 'Candied Almond']",very weak: 116; weak: 357; moderate: 2556; long lasting: 5001; eternal: 1444,intimate: 431; moderate: 4185; strong: 3752; enormous: 829,
Le Male Le Parfum,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,men,warm spicy (100%); vanilla (79.6325%); lavender (64.7566%); aromatic (64.4231%); powdery (63.8419%); iris (61.5868%); woody (57.5747%); amber (56.0633%); violet (45.7934%),"Le Male Le Parfum by Jean Paul Gaultier is a Oriental fragrance for men. Le Male Le Parfum was launched in 2020. Le Male Le Parfum was created by Quentin Bisch and Natalie Gracia-Cetto. Top note is Cardamom; middle notes are Lavender and Iris; base notes are Vanilla, Oriental notes and Woodsy Notes.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Dark and sweet without being feminine', 'Sophisticated and refined scent', 'Long-lasting performance', 'Crowd-pleaser', 'Spicey and soft cardamom notes', 'Equally appreciated by women and men', 'Office-safe fragrance', 'Beastly projection', ""May not appeal to everyone's taste"", 'May not last long on some people', 'Not as intense as other similar fragrances', 'Very sweet fragrance', 'Overwhelming cardamom scent for some', 'Lacks depth and complexity', 'Strong black licorice vibe', 'Can smell like body odor to some noses']",['Cardamom'],"['Lavender', 'Iris']","['Vanilla', 'Oriental notes', 'Woodsy Notes']",very weak: 169; weak: 377; moderate: 3649; long lasting: 8896; eternal: 1511,intimate: 913; moderate: 8307; strong: 4476; enormous: 629,
XJ 1861 Naxos,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,women and men,sweet (100%); vanilla (86.9616%); honey (85.3936%); tobacco (72.3475%); lavender (70.8305%); citrus (69.0336%); aromatic (66.9215%); floral (56.7056%); powdery (54.5281%); warm spicy (54.3519%),"XJ 1861 Naxos by Xerjoff is a Citrus Gourmand fragrance for women and men. XJ 1861 Naxos was launched in 2015. Top notes are Lavender, Bergamot and Lemon; middle notes are Honey, Cinnamon, Cashmeran and Jasmine Sambac; base notes are Tobacco Leaf, Vanilla and Tonka Bean.At perfume exhibition in Milan - Esxence 2015, Xerjoff presented for the first time his collection of three perfumes dedicated to 150th anniversary of unification of Italy and is inspired by wealth, beauty and heritage that this country possesses. The collection of XJ 1861 encompasses three fragrances XJ 1861 Renaissance, XJ 1861 Zefiro and XJ 1861 Naxos each of which provides a part of beautiful Italy: Renaissance celebrates this period in Italy, Naxos Sicily, while Zefiro celebrates eternal Rome!XJ 1861 Naxos celebrates Sicily and its beauty, and accentuates its Mediterranean character with the composition. Citruses in top notes pose contrast to precious spices suggesting wealth of a unified country, its conquests and dominance. Composition of Naxos opens with classic, airy and fruity citrus notes of bergamot and lemon surrounded with gentle and calming lavender shades. The heart blends sambac jasmine with cinnamon, cashmeran and honey, whose romantic trail is enriched with masculine accords of tobacco and tonka from the base. Vanilla creates a soft and sensual veil by touching flowers, fruit and tobacco leaves.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Smooth quality fragrance', 'Nice blend of lavender, bergamot and honey', 'Packaging feels like quality', 'Long-lasting with very good projection', 'Smoothness and easy on the nostrils', 'Transforms throughout the day', 'Perfectly unisex in opinion', 'Soft, sweet feminine aroma at the end of the day', 'Strong honey, jasmine and lavender combination', 'More masculine than expected', 'May be too potent for some noses', 'Too sweet and unrelenting for some noses', 'Similar to other fragrances such as Pure Havane', 'Initial spray may cause instant regret', 'Reminds some of an older fragrance', 'Reformulated and not as strong anymore']","['Lavender', 'Bergamot', 'Lemon']","['Honey', 'Cinnamon', 'Cashmeran', 'Jasmine Sambac']","['Tobacco Leaf', 'Vanilla', 'Tonka Bean']",very weak: 110; weak: 145; moderate: 1372; long lasting: 5241; eternal: 1997,intimate: 263; moderate: 2592; strong: 4994; enormous: 1173,
Emporio Armani Stronger With You Intensely,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html,men,vanilla (100%); sweet (93.3848%); amber (72.0154%); cinnamon (68.9121%); warm spicy (66.4854%); powdery (59.0848%); aromatic (57.2142%); soft spicy (53.5284%); caramel (48.7657%),"Emporio Armani Stronger With You Intensely by Giorgio Armani is a Oriental Fougere fragrance for men. Emporio Armani Stronger With You Intensely was launched in 2019. Top notes are Pink Pepper, Juniper and Violet; middle notes are Toffee, Cinnamon, Lavender and Sage; base notes are Vanilla, Amber, Tonka Bean and Suede.Emporio Armani Stronger With You Intensely is an oriental-woody fragrance with fougere accents. It tells a story of the excitement of a new and young love. Top notes include spices and violet, with the heart that combines lavender with sweet toffee caramel and cinnamon. The base ends with suede, vanilla and amber.Emporio Armani Stronger With You Intensely is available as a 30, 50 and 100 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Perfect winter fragrance with a cozy feeling', 'Darker and more intense with a sweet, chocolatey, caramely scent', 'Great new scent for gourmand lovers', 'Delicious, sweet, smokey, toffeeish, and rich', 'Solid projection for the first three hours', 'Safe blind buy with a good crowd-pleasing quality', 'Stronger, better, and longer lasting than the original', 'High quality niche fragrance at a designer price', 'Too strong and sweet for some', 'Not for those who dislike tonka notes', 'Juvenile scent for some', ""Doesn't work for some despite good listed notes"", 'Too much cinnamon for some', 'Generic and not very complex', 'Aura near the skin is not as amazing', 'Reminds some of other fragrances like Spicebomb Extreme']","['Pink Pepper', 'Juniper', 'Violet']","['Toffee', 'Cinnamon', 'Lavender', 'Sage']","['Vanilla', 'Amber', 'Tonka Bean', 'Suede']",very weak: 107; weak: 194; moderate: 2432; long lasting: 7223; eternal: 1769,intimate: 352; moderate: 3694; strong: 6349; enormous: 1199,
Le Beau Le Parfum,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html,men,sweet (100%); woody (98.0032%); coconut (91.5128%); amber (78.6539%); vanilla (71.3521%); tropical (68.6475%); fruity (68.1178%); powdery (57.4697%); lactonic (51.5297%); iris (51.3528%),"Le Beau Le Parfum by Jean Paul Gaultier is a Oriental Woody fragrance for men. This is a new fragrance. Le Beau Le Parfum was launched in 2022. The nose behind this fragrance is Quentin Bisch. Top notes are Pineapple, Iris, Ginger and Cypress; middle notes are Coconut and Woodsy Notes; base notes are Tonka Bean, Sandalwood, Amber and Ambergris.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Pineapple and coconut scent gives a tropical vibe', 'Strong and long-lasting', 'More mature version of the original Le Beau', 'Creamy, sweet and gourmand scent', 'Offers woodsy and ambery notes', 'Sandalwood and iris add depth to the fragrance', 'Nuanced and refined sweet scent', 'Suitable for unisex use', 'Pineapple note fades too quickly for some', 'Overly sweet for some', 'May cause headaches or dislike due to coconut note', 'Not suitable for winter season despite winter notes', 'Nuclear coconut smell can be overwhelming', 'Weird sweat-like side note for some', 'Performance declined compared to original version', 'Similar to other fragrances in the market']","['Pineapple', 'Iris', 'Ginger', 'Cypress']","['Coconut', 'Woodsy Notes']","['Tonka Bean', 'Sandalwood', 'Amber', 'Ambergris']",very weak: 66; weak: 159; moderate: 2003; long lasting: 5545; eternal: 957,intimate: 290; moderate: 3792; strong: 3836; enormous: 569,
By the Fireplace,Maison Martin Margiela,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html,women and men,woody (100%); vanilla (78.6985%); balsamic (76.3712%); warm spicy (70.2541%); amber (63.3291%); powdery (58.7561%); nutty (52.5761%); musky (46.3961%); soft spicy (45.2563%); sweet (44.402%),"By the Fireplace by Maison Martin Margiela is a Woody fragrance for women and men. By the Fireplace was launched in 2015. The nose behind this fragrance is Marie Salamagne. Top notes are Cloves, Pink Pepper and Orange Blossom; middle notes are Chestnut, Guaiac Wood and Juniper; base notes are Vanilla, Peru Balsam and Cashmeran.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Great for winter and holiday season', 'Very realistic fragrance', 'Evocative and transports you to memories of sitting by the fireplace', 'Mixes sweet vanilla with smoky notes', 'Comforting and familiar smell', 'Good for relaxing with loved ones', 'Better than 95% of niche fragrances', 'Helps mend relationships with fire', 'Linear scent', 'Negative reviews are voted down, creating biased opinions', 'May smell too much like a Christmas candle', 'Not as great as other fragrances from the brand']","['Cloves', 'Pink Pepper', 'Orange Blossom']","['Chestnut', 'Guaiac Wood', 'Juniper']","['Vanilla', 'Peru Balsam', 'Cashmeran']",very weak: 222; weak: 798; moderate: 4669; long lasting: 4226; eternal: 763,intimate: 1099; moderate: 6522; strong: 2494; enormous: 511,
Y Eau de Parfum,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Eau-de-Parfum-50757.html,men,aromatic (100%); fresh spicy (96.9719%); woody (80.5487%); fruity (70.3223%); amber (67.773%); fresh (65.9193%); citrus (60.0803%); herbal (57.9088%); green (54.2876%); warm spicy (45.0058%),"Y Eau de Parfum by Yves Saint Laurent is a Aromatic Fougere fragrance for men. Y Eau de Parfum was launched in 2018. The nose behind this fragrance is Dominique Ropion. Top notes are Apple, Ginger and Bergamot; middle notes are Sage, Juniper Berries and Geranium; base notes are Amberwood, Tonka Bean, Cedar, Vetiver and Olibanum.YSL is introducing a new version of Y fragrance - Y Eau De Parfum - packaged in a darker bottle.Y Eau de Parfum, is coming out on the global market in September 2018 as ""a seductive fragrance interpretation of Yves Saint Laurent's iconic white T-shirt and black jacket."" Perfumer Dominique Ropion constructed the new composition as deep, fresh and masculine, with aromatic, spicy, woody and fougere features. Top notes: bergamot, ginger, appleHeart: sage, geranium, juniper berriesBase: vetiver, cedar, tonka, amber woods, olibanumThe fragrance is available as a 60 and 100 ml of Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Versatile and modern scent', 'Strong and long-lasting', 'Loved by many', 'Great projection and longevity', 'No-brainer perfume for any occasion', 'Compliment getter', 'Attractive, sweet musky dry down', 'Well-rounded mix of popular fragrances', 'Can become overwhelming with too many sprays', 'Sharp and synthetic smell to some people', 'Not suitable for fans of more niche fragrances', 'Gingerapple opening not for everyone', 'Lacks uniqueness and personality', 'Sickly sweet and herbal to some noses', 'Unoriginal and cliche fragrance', 'Feminine vibe for some']","['Apple', 'Ginger', 'Bergamot']","['Sage', 'Juniper Berries', 'Geranium']","['Amberwood', 'Tonka Bean', 'Cedar', 'Vetiver', 'Olibanum']",very weak: 176; weak: 437; moderate: 4433; long lasting: 8762; eternal: 1020,intimate: 652; moderate: 6680; strong: 6531; enormous: 791,
Bianco Latte,Giardini Di Toscana,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Bianco-Latte-64757.html,women and men,vanilla (100%); sweet (89.3702%); caramel (76.7627%); honey (57.231%); balsamic (56.7265%); powdery (55.9112%); musky (49.3802%); aromatic (47.5447%); woody (46.0824%),"Bianco Latte by Giardini Di Toscana is a Oriental Vanilla fragrance for women and men. The nose behind this fragrance is Silvia Martinelli. Top note is Caramel; middle notes are Coumarin and Honey; base notes are Vanilla and White Musk.""The cuddle, the embrace, the pleasure of being wrapped in a cloud of vanilla, milk and honey."" - a note from the brand.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Performance is great', 'High-quality, rich gourmand', 'Has a unique condensed milk scent', 'Gorgeous sweet, creamy, light scent', 'Enormous sillage', 'Realistic, cozy, steaming hot caramel cafe latte scent', 'Creates an intimate scent bubble', 'Smells like vanilla cupcakes piled high with vanilla buttercream frosting', ""May be too sweet for some people's liking"", 'Does not smell like Pink Sugar as advertised', 'Not suitable for all occasions or seasons', 'Overwhelmingly synthetic upon spraying', 'Concentration may be too strong for undersprayers', 'Initial alcoholic assault of milky liquor', 'Slightly powdery', 'Musk note can have a mothball-like vibe on some skin types']",['Caramel'],"['Coumarin', 'Honey']","['Vanilla', 'White Musk']",very weak: 47; weak: 136; moderate: 861; long lasting: 1747; eternal: 848,intimate: 222; moderate: 1201; strong: 1585; enormous: 501,
