Name,Designer,URL,Gender,Accords,Description,Pros and cons,Top Notes,Middle Notes,Base Notes,Longevity,Sillage
Unicorn Milkshake,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Unicorn-Milkshake-80878.html,women and men,sweet (100%); vanilla (58.1656%); lactonic (55.6806%); powdery (47.3964%),"Unicorn Milkshake by The Dua Brand is a Floral Fruity Gourmand fragrance for women and men. This is a new fragrance. Unicorn Milkshake was launched in 2022.Dua is a brand that specializes in creating unique fragrances that leave a lasting impression. The Unicorn Milkshake is an original blend that captures the essence of a sweet and creamy milkshake. This gourmand fragrance is unisex and is perfect for those who want to indulge in a sweet scent. The concentration of this fragrance is not mentioned in the data, but it is likely to be an Eau de Parfum or Extrait de Parfum due to the complexity and concentration of notes.The Unicorn Milkshake is a delightful combination of notes that will leave you enchanted. The opening notes of whipped cream and sugar create a mouth-watering sensation, while vanilla ice cream keeps the deliciousness alive. Marshmallow cream, frosted milk, and cotton candy add layers of sweetness to the fragrance, making it as addictive as it is magical. The white musk base note gives the scent a subtle hint of muskiness that balances out the sweetness perfectly. Overall, the Unicorn Milkshake is a gourmand fragrance that smells like a delicious milkshake, making it perfect for those who love sweet scents.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,[],[],[],,
Princeless Princess,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Princeless-Princess-86485.html,women and men,fresh (100%); fresh spicy (82.6144%); sweet (80.3266%); green (78.497%); white floral (75.7515%); fruity (65.6865%); powdery (65.6865%); vanilla (64.0852%); amber (62.0262%); citrus (54.7056%),"Princeless Princess by The Dua Brand is a Oriental fragrance for women and men. Princeless Princess was launched in 2021.Princeless Princess by The Dua Brand is an exquisite fragrance created for those who exude elegance and sophistication. Manufactured by Kilian Paris, this independent perfume is designed to be worn by individuals who appreciate class and distinction. Known as I Don’t Need a Prince by my Side to be a Princess, this fragrance offers an affordable option from Kilian Paris' olfactory collection. With its gourmand composition, Princeless Princess combines the rich essences of vanilla, marshmallow, and benzoin. The opening notes of tea and ginger provide a fresh and vibrant contrast to the opulent sweetness of vanilla, while apple and peach add a touch of complexity, keeping the fruity sensation alive. Princeless Princess is an ideal choice for those seeking longevity in their fragrance, as it boasts a longer-lasting formula that closely replicates the scent of the original perfume. This mesmerizing fragrance is suitable for both men and women and is sure to leave you feeling irresistibly alluring.The notes that compose Princeless Princess include lemon, green tea, ginger, peach, hedione, jasmine, apple, marshmallow, vanilla, and benzoin. This unique combination creates an olfactory experience that is both captivating and nuanced. The fragrance opens with a burst of zesty lemon and invigorating green tea, accompanied by the spicy warmth of ginger. As the scent develops, the sweet essence of peach emerges, intermingling with the intoxicating floral notes of jasmine. The aroma is further enhanced by the crispness of apple, creating a delicate balance between fruitiness and sophistication. The base notes of marshmallow and benzoin provide a sumptuous blend of creamy sweetness and resinous depth. With its harmonious fusion of fragrant elements, Princeless Princess belongs to the olfactory group of 'Oriental Vanilla', aptly capturing its enchanting allure.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,[],[],[],,
White Milk,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/White-Milk-96280.html,women and men,vanilla (100%); musky (86.7568%); sweet (79.1892%); powdery (76.3512%); caramel (67.8376%); honey (48.9188%); balsamic (44.1892%),"White Milk by The Dua Brand is a fragrance for women and men. This is a new fragrance. White Milk was launched in 2024.White Milk is an inspired expression of Bianco Latte by Giardini Di Toscana. The scent of white milk is cleverly achieved through thoughtfully pieced together accords. Creamy caramel covers the blend with its lactonic and slightly salty personality. Tonka bean combines with the carnal sensation of honey, while white musk pieces everything together in a clean and comforting fashion. Vanilla occupies the base to build upon the sweetness and the white milk accord. White Milk is designed to bring about a sense of warmth and comforting familiarity.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,[],[],[],,
Popped Cherry,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Popped-Cherry-65862.html,women and men,almond (100%); sweet (82.4996%); vanilla (79%); woody (72.0001%); nutty (72.0001%); fruity (64.9998%); amber (64.9998%); aromatic (59.8422%); warm spicy (54.3158%); cherry (52.1051%),"Popped Cherry by The Dua Brand is a Aromatic Fruity fragrance for women and men. Popped Cherry was launched in 2018.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,[],[],[],,
Angelic Elixir,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Angelic-Elixir-65897.html,women and men,warm spicy (100%); woody (91.3583%); cinnamon (85.309%); vanilla (74.4199%); sweet (73.9877%); powdery (47.9754%),"Angelic Elixir by The Dua Brand is a Aromatic Spicy fragrance for women and men. Angelic Elixir was launched in 2021.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,[],[],[],,
Couture Crumbled,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Couture-Crumbled-93882.html,women and men,sweet (100%); vanilla (77.8482%); woody (71.6456%); savory (69.8734%); powdery (60.5695%); warm spicy (49.4938%); balsamic (45.0632%),"Couture Crumbled by The Dua Brand is a fragrance for women and men. This is a new fragrance. Couture Crumbled was launched in 2024.Couture Crumbled is inspired by the delectable aroma of Crumb Couture by Snif. The fragrance opens with the rich and buttery scent of croissant, evoking the warmth and flakiness of freshly baked pastry. The heart features a blend of wild berry jam and black currant, adding a sweet and tangy burst of fruity goodness. The creamy richness of toasted vanilla and the nutty tones of tonka bean emerge as the scent develops, with sandalwood providing a grounding, woody finish.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,[],[],[],,
Unicorn Milkshake,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Unicorn-Milkshake-80878.html,women and men,sweet (100%); vanilla (58.1656%); lactonic (55.6806%); powdery (47.3964%),"Unicorn Milkshake by The Dua Brand is a Floral Fruity Gourmand fragrance for women and men. This is a new fragrance. Unicorn Milkshake was launched in 2022.Dua is a brand that specializes in creating unique fragrances that leave a lasting impression. The Unicorn Milkshake is an original blend that captures the essence of a sweet and creamy milkshake. This gourmand fragrance is unisex and is perfect for those who want to indulge in a sweet scent. The concentration of this fragrance is not mentioned in the data, but it is likely to be an Eau de Parfum or Extrait de Parfum due to the complexity and concentration of notes.The Unicorn Milkshake is a delightful combination of notes that will leave you enchanted. The opening notes of whipped cream and sugar create a mouth-watering sensation, while vanilla ice cream keeps the deliciousness alive. Marshmallow cream, frosted milk, and cotton candy add layers of sweetness to the fragrance, making it as addictive as it is magical. The white musk base note gives the scent a subtle hint of muskiness that balances out the sweetness perfectly. Overall, the Unicorn Milkshake is a gourmand fragrance that smells like a delicious milkshake, making it perfect for those who love sweet scents.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Whipped Cream', 'Marshmallow', 'Cotton Candy', 'Ice cream', 'Milk', 'White Musk', 'Sugar', 'Vanilla']",[],[],,
Princeless Princess,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Princeless-Princess-86485.html,women and men,fresh (100%); fresh spicy (82.6144%); sweet (80.3266%); green (78.497%); white floral (75.7515%); fruity (65.6865%); powdery (65.6865%); vanilla (64.0852%); amber (62.0262%); citrus (54.7056%),"Princeless Princess by The Dua Brand is a Oriental fragrance for women and men. Princeless Princess was launched in 2021.Princeless Princess by The Dua Brand is an exquisite fragrance created for those who exude elegance and sophistication. Manufactured by Kilian Paris, this independent perfume is designed to be worn by individuals who appreciate class and distinction. Known as I Don’t Need a Prince by my Side to be a Princess, this fragrance offers an affordable option from Kilian Paris' olfactory collection. With its gourmand composition, Princeless Princess combines the rich essences of vanilla, marshmallow, and benzoin. The opening notes of tea and ginger provide a fresh and vibrant contrast to the opulent sweetness of vanilla, while apple and peach add a touch of complexity, keeping the fruity sensation alive. Princeless Princess is an ideal choice for those seeking longevity in their fragrance, as it boasts a longer-lasting formula that closely replicates the scent of the original perfume. This mesmerizing fragrance is suitable for both men and women and is sure to leave you feeling irresistibly alluring.The notes that compose Princeless Princess include lemon, green tea, ginger, peach, hedione, jasmine, apple, marshmallow, vanilla, and benzoin. This unique combination creates an olfactory experience that is both captivating and nuanced. The fragrance opens with a burst of zesty lemon and invigorating green tea, accompanied by the spicy warmth of ginger. As the scent develops, the sweet essence of peach emerges, intermingling with the intoxicating floral notes of jasmine. The aroma is further enhanced by the crispness of apple, creating a delicate balance between fruitiness and sophistication. The base notes of marshmallow and benzoin provide a sumptuous blend of creamy sweetness and resinous depth. With its harmonious fusion of fragrant elements, Princeless Princess belongs to the olfactory group of 'Oriental Vanilla', aptly capturing its enchanting allure.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Green Tea', 'Ginger', 'Marshmallow', 'Jasmine', 'Benzoin', 'Vanilla', 'Peach', 'Apple', 'Hedione', 'Lemon']",[],[],,
White Milk,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/White-Milk-96280.html,women and men,vanilla (100%); musky (86.7568%); sweet (79.1892%); powdery (76.3512%); caramel (67.8376%); honey (48.9188%); balsamic (44.1892%),"White Milk by The Dua Brand is a fragrance for women and men. This is a new fragrance. White Milk was launched in 2024.White Milk is an inspired expression of Bianco Latte by Giardini Di Toscana. The scent of white milk is cleverly achieved through thoughtfully pieced together accords. Creamy caramel covers the blend with its lactonic and slightly salty personality. Tonka bean combines with the carnal sensation of honey, while white musk pieces everything together in a clean and comforting fashion. Vanilla occupies the base to build upon the sweetness and the white milk accord. White Milk is designed to bring about a sense of warmth and comforting familiarity.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['White Musk', 'Vanilla', 'Caramel', 'Tonka Bean', 'Honey']",[],[],,
Popped Cherry,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Popped-Cherry-65862.html,women and men,almond (100%); sweet (82.4996%); vanilla (79%); woody (72.0001%); nutty (72.0001%); fruity (64.9998%); amber (64.9998%); aromatic (59.8422%); warm spicy (54.3158%); cherry (52.1051%),"Popped Cherry by The Dua Brand is a Aromatic Fruity fragrance for women and men. Popped Cherry was launched in 2018.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Griotte Cherries', 'Bitter Almond', 'Tonka Bean', 'Sandalwood', 'Black Cherry', 'Cherry Liqueur', 'Cedar', 'Jasmine Sambac', 'Haitian Vetiver', 'Turkish Rose']",[],[],,
